key,post_no,media_id,permalink,scheduled_at,slot,published_at,media_type,title,media_error,views,likes,replies,reposts,quotes,shares
car-20260810-1200-012,CAR-012,18614543359030655,https://www.threads.com/@kuruma_honne/post/Db1_7YjjVvE,2026-08-10T12:00:00+09:00,12:00,2026-08-10T03:00:47+0000,IMAGE,長い下り坂でフットブレーキだけに頼ると、過熱して利きが悪くなるフェード現象につながります。,,1012,9,0,0,0,0
car-20260810-1800-013,CAR-013,18128846446646843,https://www.threads.com/@kuruma_honne/post/Db2pIO5IA2Q,2026-08-10T18:00:00+09:00,18:00,2026-08-10T09:00:48+0000,TEXT_POST,長距離ドライブで休むのは、眠くなってからでは遅い。,,258,3,0,1,0,0
car-20260811-0700-014,CAR-014,18340002538250938,https://www.threads.com/@kuruma_honne/post/Db4CYUAoI7l,2026-08-11T07:00:00+09:00,07:00,2026-08-10T22:00:42+0000,TEXT_POST,高速を走ったあとの虫汚れ。乾いたまま強く擦るのは避けたい。,,816,2,0,0,0,0
car-20260811-1200-015,CAR-015,18073248671395642,https://www.threads.com/@kuruma_honne/post/Db4ktUVCDj3,2026-08-11T12:00:00+09:00,12:00,,UNKNOWN,,"Threads API GET 18073248671395642 failed: HTTP 400 body={""error"":{""message"":""Unsupported get request. Object with ID '18073248671395642' does not exist, cannot be loaded due to missing permissions, or does not support this operation"",""type"":""THApiException"",""code"":100,""error_subcode"":33,""fbtrace_id"":""AAUelU-B6pOJbGdn5hkzK_i""}}",,,,,,
car-20260811-1800-016,CAR-016,18216875986728233,https://www.threads.com/@kuruma_honne/post/Db5N6WjFmdg,2026-08-11T18:00:00+09:00,18:00,2026-08-11T09:00:42+0000,TEXT_POST,渋滞で隣の車線だけ進んで見える。でも、車線変更を繰り返すほど必ず早く着くとは限りません。,,286,1,2,1,0,0
car-20260812-0700-017,CAR-017,17927810523393261,https://www.threads.com/@kuruma_honne/post/Db6nLYSGSPa,2026-08-12T07:00:00+09:00,07:00,2026-08-11T22:00:41+0000,TEXT_POST,居眠り運転は、完全に眠る前から危険です。,,720,3,2,1,0,0
car-20260812-1200-018,CAR-018,18104432108176365,https://www.threads.com/@kuruma_honne/post/Db7Jhe-Domc,2026-08-12T12:00:00+09:00,12:00,2026-08-12T03:00:51+0000,TEXT_POST,長距離を走ったあと、一番汚れていた場所はどこ？,,132,2,0,0,0,0
car-20260814-0700-023,CAR-023,17903771571499707,https://www.threads.com/@kuruma_honne/post/Db_wyepiY9r,2026-08-14T07:00:00+09:00,07:00,2026-08-13T22:00:56+0000,IMAGE,メーターに突然ランプが点いたとき、まず見るのはマークより色です。,,675,2,0,0,0,0
car-20260814-1200-024,CAR-024,18088907852554494,https://www.threads.com/@kuruma_honne/post/DcATG2nIJm9,2026-08-14T12:00:00+09:00,12:00,2026-08-14T03:00:44+0000,TEXT_POST,目的地までの距離だけなら足りる燃料でも、お盆の渋滞では話が変わります。真夏はエアコンを使いながら低速走行や停止が続き、予定より燃料を消費します。,,588,1,0,0,0,0
car-20260814-1800-025,CAR-025,18106054376005854,https://www.threads.com/@kuruma_honne/post/DcA8TGIlabb,2026-08-14T18:00:00+09:00,18:00,2026-08-14T09:00:43+0000,TEXT_POST,帰省先でパンクしてから荷室を開けても、修理剤が期限切れでは困ります。しかも修理キットは、タイヤ側面の傷、大きな裂け、ホイール損傷などには使えません。,,188,2,0,0,0,0
car-20260815-0700-026,CAR-026,18334683508255477,https://www.threads.com/@kuruma_honne/post/DcCVk5gj6pq,2026-08-15T07:00:00+09:00,07:00,2026-08-14T22:00:52+0000,IMAGE,朝は平気でも、昼の車内は別物です。モバイルバッテリー、スプレー缶、ライター、炭酸飲料などは、高温で膨張・破裂・発火につながるおそれがあります。,,322,3,0,0,0,0
car-20260815-1200-027,CAR-027,18102036296190765,https://www.threads.com/@kuruma_honne/post/DcC35SjIH2V,2026-08-15T12:00:00+09:00,12:00,2026-08-15T03:00:44+0000,TEXT_POST,高速道路で受けた飛び石の傷。小さいからと放置していると、走行時の振動や温度変化でヒビが伸び、補修ではなくガラス交換になることがあります。,,75,2,0,0,0,0
car-20260815-1800-028,CAR-028,18148667563468487,https://www.threads.com/@kuruma_honne/post/DcDhRU0FfHS,2026-08-15T18:00:00+09:00,18:00,2026-08-15T09:02:16+0000,TEXT_POST,長い下り坂でNレンジへ入れれば燃費が良くなる——これは避けたい操作です。エンジンブレーキが使えず、フットブレーキへ負担が集中します。,,373,1,0,0,0,0
car-20260816-0700-029,CAR-029,18186474106400010,https://www.threads.com/@kuruma_honne/post/DcE6W1agZdS,2026-08-16T07:00:00+09:00,07:00,2026-08-15T22:00:43+0000,TEXT_POST,渋滞中に水温警告や蒸気が出ても、すぐ冷却水キャップを開けるのは危険です。熱い状態では冷却系統に圧力がかかり、高温の蒸気や冷却水が噴き出すおそれがあります。,,384,2,0,0,0,0
car-20260816-1200-030,CAR-030,18099567266256308,https://www.threads.com/@kuruma_honne/post/DcFcsbcFv9H,2026-08-16T12:00:00+09:00,12:00,,UNKNOWN,,"Threads API GET 18099567266256308 failed: HTTP 400 body={""error"":{""message"":""Unsupported get request. Object with ID '18099567266256308' does not exist, cannot be loaded due to missing permissions, or does not support this operation"",""type"":""THApiException"",""code"":100,""error_subcode"":33,""fbtrace_id"":""A-Hqmpe0WDiQhTz1SshniyQ""}}",,,,,,
car-20260816-1800-031,CAR-031,18619949977049258,https://www.threads.com/@kuruma_honne/post/DcGF4X5FSWB,2026-08-16T18:00:00+09:00,18:00,2026-08-16T09:00:40+0000,IMAGE,海から帰った車は、見える砂だけ落として終わりではありません。海岸付近を走ると塩分が付着し、放置すれば塗装や金属部品の腐食につながります。,,662,3,0,0,0,0
car-20260817-0700-032,CAR-032,17970655989123712,https://www.threads.com/@kuruma_honne/post/DcHfJvwltTB,2026-08-17T07:00:00+09:00,07:00,2026-08-16T22:00:43+0000,TEXT_POST,仕事始めの朝は急いでいますが、エンジンをかけた直後の音とメーターは一度見たいところです。警告灯が消えない、始動が弱い、普段と違う音が続くなら、そのまま通勤へ出ない判断も必要です。,,223,2,0,0,0,0
car-20260817-1200-033,CAR-033,17989752227841799,https://www.threads.com/@kuruma_honne/post/DcIBfffjtK2,2026-08-17T12:00:00+09:00,12:00,2026-08-17T03:00:48+0000,TEXT_POST,帰省で長距離を走った後、タイヤを見るなら溝の深さだけでは足りません。内側だけ、外側だけ減る偏摩耗は、正面から眺めただけでは見落としやすい部分です。,,263,2,0,0,0,0
car-20260817-1800-034,CAR-034,18138011563595380,https://www.threads.com/@kuruma_honne/post/DcIqr7Ulm1t,2026-08-17T18:00:00+09:00,18:00,2026-08-17T09:00:45+0000,TEXT_POST,連休明けにブレーキが鳴いても、音だけで「パッド交換」とは決められません。雨や洗車後の表面さびで一時的に鳴る場合もあれば、摩耗や部品の異常が隠れている場合もあります。,,310,1,0,0,0,0
car-20260818-0700-035,CAR-035,17974041272917750,https://www.threads.com/@kuruma_honne/post/DcKD9QzCef9,2026-08-18T07:00:00+09:00,07:00,2026-08-17T22:00:49+0000,TEXT_POST,黄色だから「次の車検まで大丈夫」ではありません。エンジン警告灯は、エンジン制御や排出ガス関連などの異常を知らせます。,,488,0,0,0,0,0
car-20260818-1200-036,CAR-036,18349442599221130,https://www.threads.com/@kuruma_honne/post/DcKmSi_Do27,2026-08-18T12:00:00+09:00,12:00,2026-08-18T03:00:48+0000,TEXT_POST,猛暑日にエアコンの風が弱いと、すぐガス不足と思いがちです。ただ、エアコンフィルターの目詰まりでも風量は落ちます。,,225,1,0,0,0,0
car-20260818-1800-037,CAR-037,17890085667671643,https://www.threads.com/@kuruma_honne/post/DcLPek-lupk,2026-08-18T18:00:00+09:00,18:00,2026-08-18T09:00:41+0000,TEXT_POST,仕事帰りに空気圧を測ると、朝より高く出ることがあります。走行でタイヤが温まり、内部の空気が膨張するためです。,,381,3,0,0,0,0
car-20260819-0700-038,CAR-038,17903618724520110,https://www.threads.com/@kuruma_honne/post/DcMovhaGNUJ,2026-08-19T07:00:00+09:00,07:00,2026-08-18T22:00:43+0000,TEXT_POST,ワイパーゴムは、ちぎれるまで使う部品ではありません。拭き筋やにじみを放置すると、急な豪雨や夜の通勤で対向車の光が広がり、視界が一気に悪くなります。,,349,1,0,0,0,0
car-20260819-1200-039,CAR-039,18126096550692011,https://www.threads.com/@kuruma_honne/post/DcNLEoCFV0O,2026-08-19T12:00:00+09:00,12:00,2026-08-19T03:00:42+0000,TEXT_POST,中古車のエアコン確認は「冷たい風が出た」で終わらせない。真夏なら、風量を上げたときの冷え方、異音、臭い、左右の温度差まで分かりやすく出ます。,,305,1,0,0,0,0
car-20260819-1800-040,CAR-040,17880822711619977,https://www.threads.com/@kuruma_honne/post/DcN0q-XCA5A,2026-08-19T18:00:00+09:00,18:00,2026-08-19T09:04:18+0000,IMAGE,強い雨の高速道路で急にハンドルが軽くなったら、タイヤが水膜へ乗るハイドロプレーニングの疑いがあります。,,527,3,0,0,0,0
car-20260820-0700-041,CAR-041,18019521287879645,https://www.threads.com/@kuruma_honne/post/DcPNjEEID_X,2026-08-20T07:00:00+09:00,07:00,2026-08-19T22:00:49+0000,TEXT_POST,出勤前に車の下へ液体があっても、透明で臭いのない水ならエアコンの排水であることが多いです。ただし、色が付いている、油っぽい、甘い臭いがする、同じ場所へ繰り返し残るなら別。,,409,1,0,0,0,0
car-20260820-1200-042,CAR-042,17879360955620797,https://www.threads.com/@kuruma_honne/post/DcPv3zlEyF3,2026-08-20T12:00:00+09:00,12:00,2026-08-20T03:00:46+0000,TEXT_POST,中古車が安く見えても、納車後すぐタイヤ4本交換なら総額は変わります。見るのは溝だけでなく、ひび、偏摩耗、製造年週、装着サイズです。,,607,3,0,0,0,0
car-20260820-1800-043,CAR-043,18096554183304792,https://www.threads.com/@kuruma_honne/post/DcQZESXmx7r,2026-08-20T18:00:00+09:00,18:00,2026-08-20T09:00:43+0000,TEXT_POST,連休で見つかった不具合を直すとき、見積もりの総額だけでは高い・安いを判断できません。純正か社外品か、交換範囲、工賃、追加作業の条件が違えば金額も変わります。,,93,2,0,0,0,0
car-20260821-1200-044,CAR-044,18080522441314813,https://www.threads.com/@kuruma_honne/post/DcSUrjpkVWm,2026-08-21T12:00:00+09:00,12:00,2026-08-21T03:00:55+0000,IMAGE,炎天下に置いた車へ乗ったら、最初から内気循環だけで冷やすより、まず熱気を外へ逃がした方が早いです。,,666,5,1,0,0,0
car-20260821-1800-045,CAR-045,18213579847352582,https://www.threads.com/@kuruma_honne/post/DcS94HIG38t,2026-08-21T18:00:00+09:00,18:00,2026-08-21T09:00:52+0000,TEXT_POST,急な豪雨では、昼間でも周囲が一気に暗くなります。,,119,1,0,0,0,0
car-20260822-0700-046,CAR-046,17980159671097754,https://www.threads.com/@kuruma_honne/post/DcUXJMvicCW,2026-08-22T07:00:00+09:00,07:00,2026-08-21T22:00:52+0000,TEXT_POST,フロントガラスが汚れているからと、乾いたままワイパーを動かすのは避けたいところです。,,567,2,0,0,0,0
car-20260822-1200-047,CAR-047,18141271153576068,https://www.threads.com/@kuruma_honne/post/DcU5d-iEaew,2026-08-22T12:00:00+09:00,12:00,2026-08-22T03:00:50+0000,IMAGE,助手席前のダッシュボードへ、スマホや小物を並べていませんか。,,1029,1,0,0,0,0
car-20260822-1800-048,CAR-048,18018380477719230,https://www.threads.com/@kuruma_honne/post/DcVi2OeoFmv,2026-08-22T18:00:00+09:00,18:00,2026-08-22T09:02:20+0000,TEXT_POST,雨上がりの大きな水たまりは、深さだけが問題ではありません。,,252,1,0,0,0,0
car-20260823-0700-049,CAR-049,18122012260657109,https://www.threads.com/@kuruma_honne/post/DcW77y1EgvF,2026-08-23T07:00:00+09:00,07:00,2026-08-22T22:00:46+0000,TEXT_POST,買い物やレジャーの荷物を、荷室へ置いただけで走っていませんか。,,64,1,0,0,0,0
car-20260823-1200-050,CAR-050,18123513937696560,https://www.threads.com/@kuruma_honne/post/DcXeRMkkb48,2026-08-23T12:00:00+09:00,12:00,2026-08-23T03:00:53+0000,IMAGE,タイヤの側面に、コブのような膨らみを見つけたら要注意です。,,697,0,1,0,0,0
